patch_name,scene_id,left,top,right,bottom,roi_left,roi_top,roi_right,roi_bottom
SAMPLE_062_x969_y588,SAMPLE_062,969,588,1225,844,393,12,1514,1114
SAMPLE_062_x1161_y588,SAMPLE_062,1161,588,1417,844,393,12,1514,1114
SAMPLE_062_x1258_y588,SAMPLE_062,1258,588,1514,844,393,12,1514,1114
SAMPLE_062_x393_y780,SAMPLE_062,393,780,649,1036,393,12,1514,1114
SAMPLE_062_x585_y780,SAMPLE_062,585,780,841,1036,393,12,1514,1114
SAMPLE_062_x777_y780,SAMPLE_062,777,780,1033,1036,393,12,1514,1114
SAMPLE_062_x969_y780,SAMPLE_062,969,780,1225,1036,393,12,1514,1114
SAMPLE_062_x1161_y780,SAMPLE_062,1161,780,1417,1036,393,12,1514,1114
SAMPLE_062_x1258_y780,SAMPLE_062,1258,780,1514,1036,393,12,1514,1114
SAMPLE_062_x393_y858,SAMPLE_062,393,858,649,1114,393,12,1514,1114
SAMPLE_062_x585_y858,SAMPLE_062,585,858,841,1114,393,12,1514,1114
SAMPLE_062_x777_y858,SAMPLE_062,777,858,1033,1114,393,12,1514,1114
SAMPLE_062_x969_y858,SAMPLE_062,969,858,1225,1114,393,12,1514,1114
SAMPLE_062_x1161_y858,SAMPLE_062,1161,858,1417,1114,393,12,1514,1114
SAMPLE_062_x1258_y858,SAMPLE_062,1258,858,1514,1114,393,12,1514,1114
SAMPLE_063_x410_y18,SAMPLE_063,410,18,666,274,410,18,1534,1140
SAMPLE_063_x602_y18,SAMPLE_063,602,18,858,274,410,18,1534,1140
SAMPLE_063_x794_y18,SAMPLE_063,794,18,1050,274,410,18,1534,1140
SAMPLE_063_x986_y18,SAMPLE_063,986,18,1242,274,410,18,1534,1140
SAMPLE_063_x1178_y18,SAMPLE_063,1178,18,1434,274,410,18,1534,1140
SAMPLE_063_x1278_y18,SAMPLE_063,1278,18,1534,274,410,18,1534,1140
SAMPLE_063_x410_y210,SAMPLE_063,410,210,666,466,410,18,1534,1140
SAMPLE_063_x602_y210,SAMPLE_063,602,210,858,466,410,18,1534,1140
SAMPLE_063_x794_y210,SAMPLE_063,794,210,1050,466,410,18,1534,1140
SAMPLE_063_x986_y210,SAMPLE_063,986,210,1242,466,410,18,1534,1140
SAMPLE_063_x1178_y210,SAMPLE_063,1178,210,1434,466,410,18,1534,1140
SAMPLE_063_x1278_y210,SAMPLE_063,1278,210,1534,466,410,18,1534,1140
SAMPLE_063_x410_y402,SAMPLE_063,410,402,666,658,410,18,1534,1140
SAMPLE_063_x602_y402,SAMPLE_063,602,402,858,658,410,18,1534,1140
SAMPLE_063_x794_y402,SAMPLE_063,794,402,1050,658,410,18,1534,1140
SAMPLE_063_x986_y402,SAMPLE_063,986,402,1242,658,410,18,1534,1140
SAMPLE_063_x1178_y402,SAMPLE_063,1178,402,1434,658,410,18,1534,1140
SAMPLE_063_x1278_y402,SAMPLE_063,1278,402,1534,658,410,18,1534,1140
SAMPLE_063_x410_y594,SAMPLE_063,410,594,666,850,410,18,1534,1140
SAMPLE_063_x602_y594,SAMPLE_063,602,594,858,850,410,18,1534,1140
SAMPLE_063_x794_y594,SAMPLE_063,794,594,1050,850,410,18,1534,1140
SAMPLE_063_x986_y594,SAMPLE_063,986,594,1242,850,410,18,1534,1140
SAMPLE_063_x1178_y594,SAMPLE_063,1178,594,1434,850,410,18,1534,1140
SAMPLE_063_x1278_y594,SAMPLE_063,1278,594,1534,850,410,18,1534,1140
SAMPLE_063_x410_y786,SAMPLE_063,410,786,666,1042,410,18,1534,1140
SAMPLE_063_x602_y786,SAMPLE_063,602,786,858,1042,410,18,1534,1140
SAMPLE_063_x794_y786,SAMPLE_063,794,786,1050,1042,410,18,1534,1140
SAMPLE_063_x986_y786,SAMPLE_063,986,786,1242,1042,410,18,1534,1140
SAMPLE_063_x1178_y786,SAMPLE_063,1178,786,1434,1042,410,18,1534,1140
SAMPLE_063_x1278_y786,SAMPLE_063,1278,786,1534,1042,410,18,1534,1140
SAMPLE_063_x410_y884,SAMPLE_063,410,884,666,1140,410,18,1534,1140
SAMPLE_063_x602_y884,SAMPLE_063,602,884,858,1140,410,18,1534,1140
SAMPLE_063_x794_y884,SAMPLE_063,794,884,1050,1140,410,18,1534,1140
SAMPLE_063_x986_y884,SAMPLE_063,986,884,1242,1140,410,18,1534,1140
SAMPLE_063_x1178_y884,SAMPLE_063,1178,884,1434,1140,410,18,1534,1140
SAMPLE_063_x1278_y884,SAMPLE_063,1278,884,1534,1140,410,18,1534,1140
SAMPLE_066_x402_y22,SAMPLE_066,402,22,658,278,402,22,1550,1144
SAMPLE_066_x594_y22,SAMPLE_066,594,22,850,278,402,22,1550,1144
SAMPLE_066_x786_y22,SAMPLE_066,786,22,1042,278,402,22,1550,1144
SAMPLE_066_x978_y22,SAMPLE_066,978,22,1234,278,402,22,1550,1144
SAMPLE_066_x1170_y22,SAMPLE_066,1170,22,1426,278,402,22,1550,1144
SAMPLE_066_x1294_y22,SAMPLE_066,1294,22,1550,278,402,22,1550,1144
SAMPLE_066_x402_y214,SAMPLE_066,402,214,658,470,402,22,1550,1144
SAMPLE_066_x594_y214,SAMPLE_066,594,214,850,470,402,22,1550,1144
SAMPLE_066_x786_y214,SAMPLE_066,786,214,1042,470,402,22,1550,1144
SAMPLE_066_x978_y214,SAMPLE_066,978,214,1234,470,402,22,1550,1144
SAMPLE_066_x1170_y214,SAMPLE_066,1170,214,1426,470,402,22,1550,1144
SAMPLE_066_x1294_y214,SAMPLE_066,1294,214,1550,470,402,22,1550,1144
SAMPLE_066_x402_y406,SAMPLE_066,402,406,658,662,402,22,1550,1144
SAMPLE_066_x594_y406,SAMPLE_066,594,406,850,662,402,22,1550,1144
SAMPLE_066_x786_y406,SAMPLE_066,786,406,1042,662,402,22,1550,1144
SAMPLE_066_x978_y406,SAMPLE_066,978,406,1234,662,402,22,1550,1144
SAMPLE_066_x1170_y406,SAMPLE_066,1170,406,1426,662,402,22,1550,1144
SAMPLE_066_x1294_y406,SAMPLE_066,1294,406,1550,662,402,22,1550,1144
SAMPLE_066_x402_y598,SAMPLE_066,402,598,658,854,402,22,1550,1144
SAMPLE_066_x594_y598,SAMPLE_066,594,598,850,854,402,22,1550,1144
SAMPLE_066_x786_y598,SAMPLE_066,786,598,1042,854,402,22,1550,1144
SAMPLE_066_x978_y598,SAMPLE_066,978,598,1234,854,402,22,1550,1144
SAMPLE_066_x1170_y598,SAMPLE_066,1170,598,1426,854,402,22,1550,1144
SAMPLE_066_x1294_y598,SAMPLE_066,1294,598,1550,854,402,22,1550,1144
SAMPLE_066_x402_y790,SAMPLE_066,402,790,658,1046,402,22,1550,1144
SAMPLE_066_x594_y790,SAMPLE_066,594,790,850,1046,402,22,1550,1144
SAMPLE_066_x786_y790,SAMPLE_066,786,790,1042,1046,402,22,1550,1144
SAMPLE_066_x978_y790,SAMPLE_066,978,790,1234,1046,402,22,1550,1144
SAMPLE_066_x1170_y790,SAMPLE_066,1170,790,1426,1046,402,22,1550,1144
SAMPLE_066_x1294_y790,SAMPLE_066,1294,790,1550,1046,402,22,1550,1144
SAMPLE_066_x402_y888,SAMPLE_066,402,888,658,1144,402,22,1550,1144
SAMPLE_066_x594_y888,SAMPLE_066,594,888,850,1144,402,22,1550,1144
SAMPLE_066_x786_y888,SAMPLE_066,786,888,1042,1144,402,22,1550,1144
SAMPLE_066_x978_y888,SAMPLE_066,978,888,1234,1144,402,22,1550,1144
SAMPLE_066_x1170_y888,SAMPLE_066,1170,888,1426,1144,402,22,1550,1144
SAMPLE_066_x1294_y888,SAMPLE_066,1294,888,1550,1144,402,22,1550,1144
SAMPLE_067_x392_y10,SAMPLE_067,392,10,648,266,392,10,1556,1145
SAMPLE_067_x584_y10,SAMPLE_067,584,10,840,266,392,10,1556,1145
SAMPLE_067_x776_y10,SAMPLE_067,776,10,1032,266,392,10,1556,1145
SAMPLE_067_x968_y10,SAMPLE_067,968,10,1224,266,392,10,1556,1145
SAMPLE_067_x1160_y10,SAMPLE_067,1160,10,1416,266,392,10,1556,1145
SAMPLE_067_x1300_y10,SAMPLE_067,1300,10,1556,266,392,10,1556,1145
SAMPLE_067_x392_y202,SAMPLE_067,392,202,648,458,392,10,1556,1145
SAMPLE_067_x584_y202,SAMPLE_067,584,202,840,458,392,10,1556,1145
SAMPLE_067_x776_y202,SAMPLE_067,776,202,1032,458,392,10,1556,1145
SAMPLE_067_x968_y202,SAMPLE_067,968,202,1224,458,392,10,1556,1145
SAMPLE_067_x1160_y202,SAMPLE_067,1160,202,1416,458,392,10,1556,1145
SAMPLE_067_x1300_y202,SAMPLE_067,1300,202,1556,458,392,10,1556,1145
SAMPLE_067_x392_y394,SAMPLE_067,392,394,648,650,392,10,1556,1145
SAMPLE_067_x584_y394,SAMPLE_067,584,394,840,650,392,10,1556,1145
SAMPLE_067_x776_y394,SAMPLE_067,776,394,1032,650,392,10,1556,1145
SAMPLE_067_x968_y394,SAMPLE_067,968,394,1224,650,392,10,1556,1145
SAMPLE_067_x1160_y394,SAMPLE_067,1160,394,1416,650,392,10,1556,1145
SAMPLE_067_x1300_y394,SAMPLE_067,1300,394,1556,650,392,10,1556,1145
SAMPLE_067_x392_y586,SAMPLE_067,392,586,648,842,392,10,1556,1145
SAMPLE_067_x584_y586,SAMPLE_067,584,586,840,842,392,10,1556,1145
SAMPLE_067_x776_y586,SAMPLE_067,776,586,1032,842,392,10,1556,1145
SAMPLE_067_x968_y586,SAMPLE_067,968,586,1224,842,392,10,1556,1145
SAMPLE_067_x1160_y586,SAMPLE_067,1160,586,1416,842,392,10,1556,1145
SAMPLE_067_x1300_y586,SAMPLE_067,1300,586,1556,842,392,10,1556,1145
SAMPLE_067_x392_y778,SAMPLE_067,392,778,648,1034,392,10,1556,1145
SAMPLE_067_x584_y778,SAMPLE_067,584,778,840,1034,392,10,1556,1145
SAMPLE_067_x776_y778,SAMPLE_067,776,778,1032,1034,392,10,1556,1145
SAMPLE_067_x968_y778,SAMPLE_067,968,778,1224,1034,392,10,1556,1145
SAMPLE_067_x1160_y778,SAMPLE_067,1160,778,1416,1034,392,10,1556,1145
SAMPLE_067_x1300_y778,SAMPLE_067,1300,778,1556,1034,392,10,1556,1145
SAMPLE_067_x392_y889,SAMPLE_067,392,889,648,1145,392,10,1556,1145
SAMPLE_067_x584_y889,SAMPLE_067,584,889,840,1145,392,10,1556,1145
SAMPLE_067_x776_y889,SAMPLE_067,776,889,1032,1145,392,10,1556,1145
SAMPLE_067_x968_y889,SAMPLE_067,968,889,1224,1145,392,10,1556,1145
SAMPLE_067_x1160_y889,SAMPLE_067,1160,889,1416,1145,392,10,1556,1145
SAMPLE_067_x1300_y889,SAMPLE_067,1300,889,1556,1145,392,10,1556,1145
SAMPLE_068_x460_y4,SAMPLE_068,460,4,716,260,460,4,1596,1115
SAMPLE_068_x652_y4,SAMPLE_068,652,4,908,260,460,4,1596,1115
SAMPLE_068_x844_y4,SAMPLE_068,844,4,1100,260,460,4,1596,1115
SAMPLE_068_x1036_y4,SAMPLE_068,1036,4,1292,260,460,4,1596,1115
SAMPLE_068_x1228_y4,SAMPLE_068,1228,4,1484,260,460,4,1596,1115
SAMPLE_068_x1340_y4,SAMPLE_068,1340,4,1596,260,460,4,1596,1115
SAMPLE_068_x460_y196,SAMPLE_068,460,196,716,452,460,4,1596,1115
SAMPLE_068_x652_y196,SAMPLE_068,652,196,908,452,460,4,1596,1115
SAMPLE_068_x844_y196,SAMPLE_068,844,196,1100,452,460,4,1596,1115
SAMPLE_068_x1036_y196,SAMPLE_068,1036,196,1292,452,460,4,1596,1115
SAMPLE_068_x1228_y196,SAMPLE_068,1228,196,1484,452,460,4,1596,1115
SAMPLE_068_x1340_y196,SAMPLE_068,1340,196,1596,452,460,4,1596,1115
SAMPLE_068_x460_y388,SAMPLE_068,460,388,716,644,460,4,1596,1115
SAMPLE_068_x652_y388,SAMPLE_068,652,388,908,644,460,4,1596,1115
SAMPLE_068_x844_y388,SAMPLE_068,844,388,1100,644,460,4,1596,1115
SAMPLE_068_x1036_y388,SAMPLE_068,1036,388,1292,644,460,4,1596,1115
SAMPLE_068_x1228_y388,SAMPLE_068,1228,388,1484,644,460,4,1596,1115
SAMPLE_068_x1340_y388,SAMPLE_068,1340,388,1596,644,460,4,1596,1115
SAMPLE_068_x460_y580,SAMPLE_068,460,580,716,836,460,4,1596,1115
SAMPLE_068_x652_y580,SAMPLE_068,652,580,908,836,460,4,1596,1115
SAMPLE_068_x844_y580,SAMPLE_068,844,580,1100,836,460,4,1596,1115
SAMPLE_068_x1036_y580,SAMPLE_068,1036,580,1292,836,460,4,1596,1115
SAMPLE_068_x1228_y580,SAMPLE_068,1228,580,1484,836,460,4,1596,1115
SAMPLE_068_x1340_y580,SAMPLE_068,1340,580,1596,836,460,4,1596,1115
SAMPLE_068_x460_y772,SAMPLE_068,460,772,716,1028,460,4,1596,1115
SAMPLE_068_x652_y772,SAMPLE_068,652,772,908,1028,460,4,1596,1115
SAMPLE_068_x844_y772,SAMPLE_068,844,772,1100,1028,460,4,1596,1115
SAMPLE_068_x1036_y772,SAMPLE_068,1036,772,1292,1028,460,4,1596,1115
SAMPLE_068_x1228_y772,SAMPLE_068,1228,772,1484,1028,460,4,1596,1115
SAMPLE_068_x1340_y772,SAMPLE_068,1340,772,1596,1028,460,4,1596,1115
SAMPLE_068_x460_y859,SAMPLE_068,460,859,716,1115,460,4,1596,1115
SAMPLE_068_x652_y859,SAMPLE_068,652,859,908,1115,460,4,1596,1115
SAMPLE_068_x844_y859,SAMPLE_068,844,859,1100,1115,460,4,1596,1115
SAMPLE_068_x1036_y859,SAMPLE_068,1036,859,1292,1115,460,4,1596,1115
SAMPLE_068_x1228_y859,SAMPLE_068,1228,859,1484,1115,460,4,1596,1115
SAMPLE_068_x1340_y859,SAMPLE_068,1340,859,1596,1115,460,4,1596,1115
SAMPLE_069_x302_y0,SAMPLE_069,302,0,558,256,302,0,1577,1200
SAMPLE_069_x494_y0,SAMPLE_069,494,0,750,256,302,0,1577,1200
SAMPLE_069_x686_y0,SAMPLE_069,686,0,942,256,302,0,1577,1200
SAMPLE_069_x878_y0,SAMPLE_069,878,0,1134,256,302,0,1577,1200
SAMPLE_069_x1070_y0,SAMPLE_069,1070,0,1326,256,302,0,1577,1200
SAMPLE_069_x1262_y0,SAMPLE_069,1262,0,1518,256,302,0,1577,1200
SAMPLE_069_x1321_y0,SAMPLE_069,1321,0,1577,256,302,0,1577,1200
SAMPLE_069_x302_y192,SAMPLE_069,302,192,558,448,302,0,1577,1200
SAMPLE_069_x494_y192,SAMPLE_069,494,192,750,448,302,0,1577,1200
SAMPLE_069_x686_y192,SAMPLE_069,686,192,942,448,302,0,1577,1200
SAMPLE_069_x878_y192,SAMPLE_069,878,192,1134,448,302,0,1577,1200
SAMPLE_069_x1070_y192,SAMPLE_069,1070,192,1326,448,302,0,1577,1200
SAMPLE_069_x1262_y192,SAMPLE_069,1262,192,1518,448,302,0,1577,1200
SAMPLE_069_x1321_y192,SAMPLE_069,1321,192,1577,448,302,0,1577,1200
SAMPLE_069_x302_y384,SAMPLE_069,302,384,558,640,302,0,1577,1200
SAMPLE_069_x494_y384,SAMPLE_069,494,384,750,640,302,0,1577,1200
SAMPLE_069_x686_y384,SAMPLE_069,686,384,942,640,302,0,1577,1200
SAMPLE_069_x878_y384,SAMPLE_069,878,384,1134,640,302,0,1577,1200
SAMPLE_069_x1070_y384,SAMPLE_069,1070,384,1326,640,302,0,1577,1200
SAMPLE_069_x1262_y384,SAMPLE_069,1262,384,1518,640,302,0,1577,1200
SAMPLE_069_x1321_y384,SAMPLE_069,1321,384,1577,640,302,0,1577,1200
SAMPLE_069_x302_y576,SAMPLE_069,302,576,558,832,302,0,1577,1200
SAMPLE_069_x494_y576,SAMPLE_069,494,576,750,832,302,0,1577,1200
SAMPLE_069_x686_y576,SAMPLE_069,686,576,942,832,302,0,1577,1200
SAMPLE_069_x878_y576,SAMPLE_069,878,576,1134,832,302,0,1577,1200
SAMPLE_069_x1070_y576,SAMPLE_069,1070,576,1326,832,302,0,1577,1200
SAMPLE_069_x1262_y576,SAMPLE_069,1262,576,1518,832,302,0,1577,1200
SAMPLE_069_x1321_y576,SAMPLE_069,1321,576,1577,832,302,0,1577,1200
SAMPLE_069_x302_y768,SAMPLE_069,302,768,558,1024,302,0,1577,1200
SAMPLE_069_x494_y768,SAMPLE_069,494,768,750,1024,302,0,1577,1200
SAMPLE_069_x686_y768,SAMPLE_069,686,768,942,1024,302,0,1577,1200
SAMPLE_069_x878_y768,SAMPLE_069,878,768,1134,1024,302,0,1577,1200
SAMPLE_069_x1070_y768,SAMPLE_069,1070,768,1326,1024,302,0,1577,1200
SAMPLE_069_x1262_y768,SAMPLE_069,1262,768,1518,1024,302,0,1577,1200
SAMPLE_069_x1321_y768,SAMPLE_069,1321,768,1577,1024,302,0,1577,1200
SAMPLE_069_x302_y944,SAMPLE_069,302,944,558,1200,302,0,1577,1200
SAMPLE_069_x494_y944,SAMPLE_069,494,944,750,1200,302,0,1577,1200
SAMPLE_069_x686_y944,SAMPLE_069,686,944,942,1200,302,0,1577,1200
SAMPLE_069_x878_y944,SAMPLE_069,878,944,1134,1200,302,0,1577,1200
SAMPLE_069_x1070_y944,SAMPLE_069,1070,944,1326,1200,302,0,1577,1200
SAMPLE_069_x1262_y944,SAMPLE_069,1262,944,1518,1200,302,0,1577,1200
SAMPLE_069_x1321_y944,SAMPLE_069,1321,944,1577,1200,302,0,1577,1200
SAMPLE_070_x194_y0,SAMPLE_070,194,0,450,256,194,0,1639,1200
SAMPLE_070_x386_y0,SAMPLE_070,386,0,642,256,194,0,1639,1200
SAMPLE_070_x578_y0,SAMPLE_070,578,0,834,256,194,0,1639,1200
SAMPLE_070_x770_y0,SAMPLE_070,770,0,1026,256,194,0,1639,1200
SAMPLE_070_x962_y0,SAMPLE_070,962,0,1218,256,194,0,1639,1200
SAMPLE_070_x1154_y0,SAMPLE_070,1154,0,1410,256,194,0,1639,1200
SAMPLE_070_x1346_y0,SAMPLE_070,1346,0,1602,256,194,0,1639,1200
SAMPLE_070_x1383_y0,SAMPLE_070,1383,0,1639,256,194,0,1639,1200
SAMPLE_070_x194_y192,SAMPLE_070,194,192,450,448,194,0,1639,1200
SAMPLE_070_x386_y192,SAMPLE_070,386,192,642,448,194,0,1639,1200
SAMPLE_070_x578_y192,SAMPLE_070,578,192,834,448,194,0,1639,1200
SAMPLE_070_x770_y192,SAMPLE_070,770,192,1026,448,194,0,1639,1200
SAMPLE_070_x962_y192,SAMPLE_070,962,192,1218,448,194,0,1639,1200
SAMPLE_070_x1154_y192,SAMPLE_070,1154,192,1410,448,194,0,1639,1200
SAMPLE_070_x1346_y192,SAMPLE_070,1346,192,1602,448,194,0,1639,1200
SAMPLE_070_x1383_y192,SAMPLE_070,1383,192,1639,448,194,0,1639,1200
SAMPLE_070_x194_y384,SAMPLE_070,194,384,450,640,194,0,1639,1200
SAMPLE_070_x386_y384,SAMPLE_070,386,384,642,640,194,0,1639,1200
